,name,cik,ticker
334,News Corp (Class B),1564708.0,NWS
349,NXP Semiconductors,1413447.0,NXPI
394,Realty Income Corporation,726728.0,O
352,Old Dominion Freight Line,878927.0,ODFL
354,Oneok,1039684.0,OKE
353,Omnicom Group,29989.0,OMC
355,Oracle Corp.,1341439.0,ORCL
350,O'Reilly Automotive,898173.0,ORLY
356,Otis Worldwide,1781335.0,OTIS
351,Occidental Petroleum,797468.0,OXY
361,Paycom,1590955.0,PAYC
360,Paychex Inc.,723531.0,PAYX
365,People's United Financial,1378946.0,PBCT
357,Paccar,75362.0,PCAR
223,Healthpeak Properties,765880.0,PEAK
383,Public Service Enterprise Group (PSEG),788784.0,PEG
363,Penn National Gaming,921738.0,PENN
366,PepsiCo Inc.,77476.0,PEP
369,Pfizer Inc.,78003.0,PFE
378,Principal Financial Group,1126328.0,PFG
379,Procter & Gamble,80424.0,PG
380,Progressive Corp.,80661.0,PGR
359,Parker-Hannifin,76334.0,PH
385,PulteGroup,822416.0,PHM
358,Packaging Corporation of America,75677.0,PKG
367,PerkinElmer,31791.0,PKI
381,Prologis,1045609.0,PLD
370,Philip Morris International,1413329.0,PM
374,PNC Financial Services,713676.0,PNC
364,Pentair plc,77360.0,PNR
372,Pinnacle West Capital,764622.0,PNW
375,Pool Corporation,945841.0,POOL
376,PPG Industries,79879.0,PPG
377,PPL Corp.,922224.0,PPL
368,Perrigo,1585364.0,PRGO
382,Prudential Financial,1137774.0,PRU
384,Public Storage,1393311.0,PSA
371,Phillips 66,1534701.0,PSX
386,PVH Corp.,78239.0,PVH
388,Quanta Services Inc.,1050915.0,PWR
373,Pioneer Natural Resources,1038357.0,PXD
362,PayPal,1633917.0,PYPL
389,Qualcomm,804328.0,QCOM
387,Qorvo,1604778.0,QRVO
405,Royal Caribbean Group,884887.0,RCL
177,Everest Re Group Ltd.,1095073.0,RE
395,Regency Centers Corporation,910606.0,REG
396,Regeneron Pharmaceuticals,872589.0,REGN
397,Regions Financial Corp.,1281761.0,RF
400,Robert Half International,315213.0,RHI
392,Raymond James Financial,720005.0,RJF
