,class
NSC,0
NTRS,1
NOC,1
NLOK,1
NCLH,0
NRG,1
NUE,1
NVDA,1
NVR,0
ORLY,0
OXY,0
ODFL,0
OMC,1
OKE,0
ORCL,1
PCAR,1
PKG,0
PH,0
PAYX,0
PAYC,1
PYPL,1
PNR,1
PBCT,1
PEP,0
PKI,0
PRGO,0
PFE,1
PM,1
PSX,0
PNW,1
PXD,0
PNC,1
PPG,0
PPL,0
PFG,0
PG,0
PGR,1
PLD,0
PRU,0
PEG,0
PSA,1
PHM,0
PVH,0
QRVO,1
QCOM,1
PWR,0
DGX,1
RL,1
RJF,1
RTX,1
O,0
REG,0
REGN,0
RF,1
RSG,1
RMD,0
RHI,1
ROK,0
ROL,1
ROP,1
ROST,0
RCL,0
SPGI,1
CRM,1
SBAC,0
SLB,0
STX,1
SEE,0
SRE,1
NOW,1
SHW,1
SPG,0
SWKS,1
SLG,1
SNA,0
SO,0
LUV,0
SWK,1
SBUX,1
STT,1
STE,1
SYK,1
SIVB,1
SYF,0
SNPS,0
SYY,0
TMUS,0
TROW,1
TTWO,0
TPR,1
TGT,1
TEL,1
FTI,0
TDY,1
TFX,0
TXN,1
TXT,1
BK,1
CLX,0
COO,0
HSY,0
MOS,1
TRV,0
DIS,0
TMO,0
TIF,0
TJX,1
TSCO,0
TT,0
TDG,0
TFC,1
TWTR,1
TYL,1
TSN,1
USB,0
UDR,0
ULTA,0
UAA,1
UA,1
UNP,1
UAL,1
UNH,1
UPS,0
URI,1
UHS,0
UNM,1
VLO,0
VAR,0
VTR,0
VRSN,1
VRSK,1
VZ,0
VRTX,0
VFC,0
VIAC,0
V,1
VNO,0
VMC,0
WRB,0
WAB,1
WBA,0
WMT,0
WM,1
WAT,0
WEC,0
WFC,0
WELL,0
WST,0
WDC,1
WU,0
WRK,1
WY,0
WHR,0
WMB,0
WLTW,1
WYNN,1
XEL,0
XRX,0
XLNX,1
XYL,1
YUM,1
ZBRA,1
ZBH,0
ZION,1
ZTS,1
