,date,name,cik,variable,value
40,2002-07-25,Anthem,1156039.0,added_ticker,ANTM
446,2002-08-21,The Travelers Companies,86312.0,added_ticker,TRV
117,2002-11-19,Comcast Corp.,1166691.0,added_ticker,CMCSA
390,2002-12-12,Quest Diagnostics,1022079.0,added_ticker,DGX
342,2003-03-25,NortonLifeLock,849399.0,added_ticker,NLOK
381,2003-07-17,Prologis,1045609.0,added_ticker,PLD
755,2003-09-25,Quintiles Transnational,,removed_ticker,QTRN
1018,2003-09-25,Express Scripts,,added_ticker,ESRX
67,2003-11-13,Biogen Inc.,875045.0,added_ticker,BIIB
296,2004-02-23,M&T Bank,36270.0,added_ticker,MTB
473,2004-04-23,Viatris,1792044.0,added_ticker,VTRS
213,2004-07-01,Gilead Sciences,882095.0,added_ticker,GILD
441,2004-08-03,Thermo Fisher Scientific,97745.0,added_ticker,TMO
279,2004-11-01,Laboratory Corp. of America Holding,920148.0,added_ticker,LH
344,2005-03-14,NOV Inc.,1021860.0,added_ticker,NOV
132,2005-06-22,D. R. Horton,882184.0,added_ticker,DHI
122,2005-07-01,Constellation Brands,16918.0,added_ticker,STZ
754,2005-07-01,Great Lakes Chemical,,removed_ticker,GLK
384,2005-08-19,Public Storage,1393311.0,added_ticker,PSA
33,2005-10-03,Ameriprise Financial,820027.0,added_ticker,AMP
285,2005-10-04,Lennar Corp.,920760.0,added_ticker,LEN
24,2005-11-18,Amazon.com Inc.,1018724.0,added_ticker,AMZN
173,2006-01-05,Estée Lauder Companies,1001250.0,added_ticker,EL
467,2006-02-01,Verisign Inc.,1014473.0,added_ticker,VRSN
72,2006-04-03,Boston Properties,1037540.0,added_ticker,BXP
22,2006-04-03,Alphabet Inc. (Class C),1652044.0,added_ticker,GOOG
272,2006-04-04,Kimco Realty,879101.0,added_ticker,KIM
266,2006-06-02,Juniper Networks,1043604.0,added_ticker,JNPR
753,2006-06-02,Albertsons,,removed_ticker,ABS
112,2006-08-11,CME Group Inc.,1156375.0,added_ticker,CME
489,2006-09-29,Western Union Co,1365135.0,added_ticker,WU
91,2006-11-10,CBRE Group,1138118.0,added_ticker,CBRE
188,2006-11-10,Fidelity National Information Services,1136893.0,added_ticker,FIS
115,2006-11-17,Cognizant Technology Solutions,1058290.0,added_ticker,CTSH
56,2007-01-10,AvalonBay Communities,915912.0,added_ticker,AVB
752,2007-01-10,Symbol Technologies,,removed_ticker,SBL
391,2007-02-02,Ralph Lauren Corporation,1037038.0,added_ticker,RL
465,2007-02-12,Varian Medical Systems,203527.0,added_ticker,VAR
78,2007-03-02,C. H. Robinson Worldwide,1043277.0,added_ticker,CHRW
234,2007-03-20,Host Hotels & Resorts,1070750.0,added_ticker,HST
751,2007-03-30,Sabre Holdings,,removed_ticker,TSG
1014,2007-03-30,Kraft Foods,,added_ticker,KFT
50,2007-04-10,Assurant,1267238.0,added_ticker,AIZ
143,2007-07-02,Discover Financial Services,1393612.0,added_ticker,DFS
12,2007-07-12,Akamai Technologies,1086222.0,added_ticker,AKAM
750,2007-08-24,KeySpan,,removed_ticker,KSE
1013,2007-08-24,Leucadia National,,added_ticker,LUK
314,2007-09-07,Microchip Technology,827054.0,added_ticker,MCHP
749,2007-09-26,First Data Corp.,,removed_ticker,FDC
248,2007-09-26,Intercontinental Exchange,1571949.0,added_ticker,ICE
748,2007-09-27,Maxim Integrated Products,,removed_ticker,MXIM
1011,2007-09-27,Tesoro Corp.,,added_ticker,TSO
747,2007-10-01,NCR Corp.,,removed_ticker,NCR
1010,2007-10-01,Teradata Corp.,,added_ticker,TDC
746,2007-10-02,Solectron,,removed_ticker,SLR
179,2007-10-02,Expedia Group,1324424.0,added_ticker,EXPE
180,2007-10-10,Expeditors,746515.0,added_ticker,EXPD
1008,2007-10-26,Jacobs Engineering Group,,added_ticker,JEC
745,2007-10-26,Avaya Inc.,,removed_ticker,AV
260,2007-10-26,Jacobs Engineering Group,52988.0,added_ticker,J
31,2007-11-19,American Tower Corp.,1053507.0,added_ticker,AMT
1007,2007-12-13,GameStop,,added_ticker,GME
744,2007-12-13,Dow Jones,,removed_ticker,DJ
1006,2007-12-20,Range Resources,,added_ticker,RRC
743,2007-12-20,Tribune Co.,,removed_ticker,TRB
223,2008-03-31,Healthpeak Properties,765880.0,added_ticker,PEAK
370,2008-03-31,Philip Morris International,1413329.0,added_ticker,PM
254,2008-06-02,Intuitive Surgical Inc.,1035267.0,added_ticker,ISRG
1005,2008-06-10,Lorillard Inc.,,added_ticker,LO
742,2008-06-10,Ambac Financial,,removed_ticker,ABK
79,2008-06-23,Cabot Oil & Gas,858470.0,added_ticker,COG
304,2008-07-18,Mastercard Inc.,1141391.0,added_ticker,MA
135,2008-07-31,DaVita Inc.,927066.0,added_ticker,DVA
255,2008-08-21,Invesco Ltd.,914208.0,added_ticker,IVZ
97,2008-08-27,CF Industries Holdings Inc,1324404.0,added_ticker,CF
740,2008-09-12,Freddie Mac,,removed_ticker,FRE
1003,2008-09-12,Salesforce.com,,added_ticker,CRM
1004,2008-09-12,Fastenal,,added_ticker,FAST
741,2008-09-12,Fannie Mae,,removed_ticker,FNM
407,2008-09-15,Salesforce.com,1108524.0,added_ticker,CRM
185,2008-09-15,Fastenal Co,815556.0,added_ticker,FAST
1002,2008-09-16,Harris Corporation,,added_ticker,HRS
739,2008-09-16,Lehman Brothers,,removed_ticker,LEH
278,2008-09-22,L3Harris Technologies,202058.0,added_ticker,LHX
373,2008-09-24,Pioneer Natural Resources,1038357.0,added_ticker,PXD
37,2008-09-30,Amphenol Corp,820313.0,added_ticker,APH
328,2008-10-22,"Nasdaq, Inc.",1120193.0,added_ticker,NDAQ
484,2008-10-31,WEC Energy Group,783325.0,added_ticker,WEC
262,2008-11-06,JM Smucker,91419.0,added_ticker,SJM
365,2008-11-13,People's United Financial,1378946.0,added_ticker,PBCT
495,2008-11-14,Wynn Resorts Ltd,1174922.0,added_ticker,WYNN
138,2008-11-14,Dentsply Sirona,818479.0,added_ticker,XRAY
398,2008-12-05,Republic Services Inc,1060391.0,added_ticker,RSG
1001,2008-12-31,Owens-Illinois,,added_ticker,OI
738,2008-12-31,Wachovia Bank,,removed_ticker,WB
194,2009-01-02,FLIR Systems,354908.0,added_ticker,FLIR
258,2009-01-06,Iron Mountain Incorporated,1020569.0,added_ticker,IRM
486,2009-01-30,Welltower Inc.,766704.0,added_ticker,WELL
737,2009-03-03,Jones Apparel Group,,removed_ticker,JNY
736,2009-03-03,American Capital,,removed_ticker,ACAS
1000,2009-03-03,Ventas Inc.,,added_ticker,VTR
999,2009-03-03,Hormel Foods,,added_ticker,HRL
233,2009-03-04,Hormel Foods Corp.,48465.0,added_ticker,HRL
466,2009-03-04,Ventas Inc,740260.0,added_ticker,VTR
350,2009-03-27,O'Reilly Automotive,898173.0,added_ticker,ORLY
388,2009-07-01,Quanta Services Inc.,1050915.0,added_ticker,PWR
488,2009-07-01,Western Digital,106040.0,added_ticker,WDC
